Aaron Ramsey,England,2003-01-21,,,Midfielder
Max Aarons,England,2000-01-04,178cm,69kg,Defender
Abdul Rahman Baba,Ghana,1994-07-02,180cm,,Defender
Tammy Abraham,England,1997-10-02,190cm,,Forward
Adam Armstrong,England,1997-02-10,172cm,69kg,Forward
Che Adams,Scotland,1996-07-13,175cm,70kg,Forward
Omotayo Adaramola,Ireland,2003-11-13,,,Defender
Adrián,Spain,1987-01-03,190cm,80kg,Goalkeeper
Sergio Agüero,Argentina,1988-06-02,173cm,,Forward
Derek Agyakwa,Netherlands,2001-12-19,,,Defender
Ahmed El Mohamady,Egypt,1987-09-09,183cm,,Defender
Rayan Aït-Nouri,France,2001-06-06,179cm,70kg,Defender
Kristoffer Ajer,Norway,1998-04-17,196cm,84kg,Defender
Nathan Aké,Netherlands,1995-02-18,180cm,75kg,Defender
Marc Albrighton,England,1989-11-18,175cm,74kg,Midfielder
Toby Alderweireld,Belgium,1989-03-02,186cm,,Defender
Ryan Alebiosu,England,2001-12-17,,,Defender
Alejandro Garnacho,Argentina,2004-07-01,180cm,,Midfielder
Ajibola Alese,England,2001-01-17,,,Defender
Alex Telles,Brazil,1992-12-15,181cm,71kg,Defender
Trent Alexander-Arnold,England,1998-10-07,175cm,69kg,Defender
Ezgjan Alioski,North Macedonia,1992-02-12,173cm,,Midfielder
Alisson,Brazil,1992-10-02,191cm,91kg,Goalkeeper
Allan,Brazil,1991-01-08,173cm,73kg,Midfielder
Dele Alli,England,1996-04-11,188cm,76kg,Midfielder
Miguel Almirón,Paraguay,1994-02-10,174cm,70kg,Midfielder
Marcos Alonso,Spain,1990-12-28,188cm,84kg,Defender
Jaime Alvarado,Colombia,1999-07-26,179cm,,Midfielder
Julián Álvarez,Argentina,2000-01-31,173cm,,Forward
Will Alves,England,2005-02-04,,,Forward
Steven Alzate,Colombia,1998-09-08,180cm,75kg,Midfielder
Daniel Amartey,Ghana,1994-12-21,186cm,79kg,Defender
Ethan Ampadu,Wales,2000-09-14,183cm,,Defender
Joachim Andersen,Denmark,1996-05-31,192cm,90kg,Defender
Joseph Anderson,England,2001-02-06,,,Defender
Florin Andone,Romania,1993-04-11,180cm,,Forward
André Gomes,Portugal,1993-07-30,188cm,84kg,Midfielder
Andreas Pereira,Brazil,1996-01-01,178cm,,Midfielder
Vincent Angelini,Scotland,2003-09-12,186cm,,Goalkeeper
Angeliño,Spain,1997-01-04,175cm,,Defender
Faustino Anjorin,England,2001-11-23,185cm,,Midfielder
Michail Antonio,Jamaica,1990-03-28,180cm,82kg,Forward
Keenan Appiah-Forson,England,2001-10-16,,,Midfielder
Billy Arce,Ecuador,1998-07-12,178cm,,Midfielder
Cameron Archer,England,2001-12-09,,,Forward
Alphonse Areola,France,1993-02-27,195cm,94kg,Goalkeeper
Kepa Arrizabalaga,Spain,1994-10-03,189cm,84kg,Goalkeeper
Harrison Ashby,Scotland,2001-11-14,,,Defender
Yaser Asprilla,Colombia,2003-11-19,185cm,,Midfielder
Ryan Astley,Wales,2001-10-04,,,Defender
Christian Atsu,Ghana,1992-01-10,165cm,,Midfielder
Pierre-Emerick Aubameyang,Gabon,1989-06-18,187cm,,Forward
Serge Aurier,Cote D’Ivoire,1992-12-24,176cm,,Defender
Brandon Austin,England,1999-01-07,188cm,82kg,Goalkeeper
Zach Awe,England,2004-01-09,,,Defender
Taiwo Awoniyi,Nigeria,1997-08-12,183cm,,Forward
Jordan Ayew,Ghana,1991-09-11,182cm,80kg,Forward
Luke Ayling,England,1991-08-25,185cm,72kg,Defender
Miguel Azeez,England,2002-09-20,,,Midfielder
César Azpilicueta,Spain,1989-08-28,178cm,76kg,Defender
Kwadwo Baah,Germany,2003-01-27,,,Midfielder
Daniel Bachmann,Austria,1994-07-09,191cm,81kg,Goalkeeper
Leon Bailey,Jamaica,1997-08-09,178cm,77kg,Forward
Eric Bailly,Cote D’Ivoire,1994-04-12,187cm,77kg,Defender
Tiemoué Bakayoko,France,1994-08-17,185cm,,Midfielder
Lewis Baker,England,1995-04-25,182cm,,Midfielder
James Balagizi,England,2003-09-20,,,Midfielder
Fabián Balbuena,Paraguay,1991-08-23,188cm,,Defender
Ellery Balcombe,England,1999-10-15,190cm,,Goalkeeper
Gareth Bale,Wales,1989-07-16,185cm,,Forward
Folarin Balogun,England,2001-07-03,178cm,,Forward
Tudor Baluta,Romania,1999-03-27,192cm,80kg,Defender
Patrick Bamford,England,1993-09-05,185cm,71kg,Forward
Beni Baningime,DR Congo,1998-09-09,178cm,,Midfielder
Scott Banks,Scotland,2001-09-26,,,Midfielder
Shandon Baptiste,Grenada,1998-04-08,175cm,71kg,Midfielder
Daniel Barden,Wales,2001-01-02,195cm,,Goalkeeper
Phil Bardsley,Scotland,1985-06-28,180cm,74kg,Defender
Ross Barkley,England,1993-12-05,189cm,76kg,Midfielder
Ashley Barnes,England,1989-10-30,186cm,77kg,Forward
Mason Barrett,England,1999-09-24,,,Defender
Louie Barry,England,2003-06-21,,,Forward
Lewis Bate,England,2002-10-28,,,Midfielder
Michy Batshuayi,Belgium,1993-10-02,184cm,,Forward
Nathan Baxter,England,1998-11-08,191cm,,Goalkeeper
Mads Bech Sørensen,Denmark,1999-01-07,189cm,92kg,Defender
Owen Beck,Wales,2002-08-09,,,Defender
Jan Bednarek,Poland,1996-04-12,189cm,77kg,Defender
